;;;;;;;;;;
;N-25%;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Insumos;Produzir;;Formula (%);           Porcentagem de macro e micros;;;;;;
FORMULAÇÃO;;Unidade;%;% Real N;%Real P;%Real de K;%Real de Micros;;;
Agua;233,2404;kg;36,87595%;;;;;256,917;;
espessante;0,0000;kg;0,00000%;0,00%;;;;a38,53;;
odorizante;0,0000;kg;0,00000%;0,00%;0,00%;0,00%;;gli25,6917;;
acidificante;0,0000;kg;0,00000%;;0,00%;;;ur569,;;
Nitrato de Amônio;156,5202;kg;24,74627%;8,17%;10,89%;;;acf 12,84;;
Q2 5211;3,1625;Kg;0,50000%;;;;;na389;;
Antiespumante;0,6325;Kg;0,10000%;;;;;ant7,70751;;
Uréia;238,9445;kg;37,77778%;17,38%;;;;;;
Total Kg;632,5000;kg;100,00000%;25,54%;10,89%;0,00%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Quantidade em solicitada (L);550;;;;;;;;;
Quantidade em (kg);632,5;;;;;;;;;
Densidade prevista;1,15;;;;;;;;;
